,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,exposures,azimuth,elevation,dx_origin,dy_origin,pointing_origin
0,0,0,0,2022050300186,15.179451782838402,38.5746135397931,9.067421639922582,-14.77880488751681,17.338719938318025
1,1,1,1,2022050300188,22.6884255600453,65.9542374893063,0.2506001464282151,-14.561526544232423,14.563682766792724
2,2,2,2,2022050300190,45.1310151112557,70.6516697092738,-1.8519782852051336,-12.663459511953526,12.798165117693928
3,3,3,3,2022050300192,60.32857276919821,33.1195140465279,6.976247035337958,-14.624754326967278,16.20343981450265
4,4,4,4,2022050300194,74.9563375902508,48.4914930744999,1.6967850406164031,-15.492280961454773,15.584923768267638
5,5,5,5,2022050300196,105.188835043926,35.6263454838772,7.565717010604239,-18.945329913200364,20.400137239845986
6,6,6,6,2022050300198,112.206536312107,52.2552040799492,2.340395691538067,-18.33439226344925,18.48316508780348
7,7,7,7,2022050300200,119.53449227332,26.5726075156708,11.843504470477116,-21.49376352101202,24.54079192771493
8,8,8,8,2022050300202,135.336476345037,47.146137265765,4.964626770952459,-22.50113956115019,23.042326282847743
9,9,9,9,2022050300204,134.794694710959,20.6896049364586,16.165042043707015,-17.91724461107887,24.1316439292488
10,10,10,10,2022050300206,135.149385113691,73.1940578504291,-2.08952062190083,-19.777990155622785,19.88806152004917
13,14,14,14,2022050300214,179.904272783955,24.4847858532448,9.886411923009994,-16.549434094051175,19.27757530253164
14,15,15,15,2022050300216,194.962118197931,48.4169240876072,0.3511958131514451,-15.745923349820693,15.749839384501788
15,16,16,16,2022050300218,203.72475870396,67.962206660115,-3.764196857491815,-13.834219402615592,14.337182584512796
16,17,17,17,2022050300220,209.674837519182,27.952359078743,6.511534272453992,-17.110923809407428,18.30802534935674
17,18,18,18,2022050300222,224.452705015181,37.3226889058133,4.659486193786841,-17.129421756915878,17.75184219500594
18,19,19,19,2022050300224,225.140530247925,67.676556764447,-2.624280532828801,-12.98611645144904,13.24862516661935
19,20,20,20,2022050300226,240.214543123482,23.3619684561272,9.625577474231118,-13.022871067167545,16.19403941407131
20,21,21,21,2022050300228,247.441682000383,65.4487836941116,3.097590295294275,-13.577553407540217,13.926414548336128
21,22,22,22,2022050300230,284.354740459254,40.4793413563748,0.4882193262560502,-16.907631972465172,16.914679335620182
22,23,23,23,2022050300232,293.245424259236,62.7784506066673,-4.606517910211557,-12.797884264449964,13.60168551699957
23,24,24,24,2022050300234,300.276675153291,30.3647575362702,4.585786247809224,-17.939072103668302,18.51593215183093
24,25,25,25,2022050300236,313.840594518697,79.2327952964988,-9.104472619077637,-13.06447828100772,15.923944687999166
25,26,26,26,2022050300238,314.354951012647,40.9988172932644,0.2398304884309189,-14.87761478525167,14.879547720328064
26,27,27,27,2022050300240,337.455464083454,65.9759674056404,-3.688914403079549,-14.578785015083298,15.03825328917109
27,28,28,28,2022050300242,344.819127846262,37.3732136770268,3.467912213989247,-15.6692521916712,16.048422955858577
