Large Slew and Settle - LTS-337-014 on Mon Apr  4 17:28:04 2022 
Start_Time[UTC], End_Time[UTC], Start_Azimuth[deg], Start_Elevation[deg], Slew_time[s]
2022-04-04T17:32:10.314,2022-04-04T17:34:23.846,0,84,133.532
2022-04-04T17:34:32.574,2022-04-04T17:36:41.897,0,84,129.322
2022-04-04T17:37:25.970,2022-04-04T17:39:34.796,0,84,128.826
2022-04-04T17:39:43.524,2022-04-04T17:41:48.747,0,84,125.223
2022-04-04T17:48:20.847,2022-04-04T17:50:33.696,90,20,132.849
2022-04-04T17:50:34.698,2022-04-04T17:52:47.797,90,20,133.099
2022-04-04T18:05:45.501,2022-04-04T18:08:16.650,200,21,151.15
2022-04-04T18:08:17.652,2022-04-04T18:09:17.048,200,21,59.395
2022-04-04T18:28:39.797,2022-04-04T18:29:38.148,220,22,58.35
2022-04-04T18:29:39.149,2022-04-04T18:30:37.401,220,22,58.252


2022-04-04T17:31:33.314,2022-04-04T17:33:46.846,0,84,133.532
2022-04-04T17:33:55.574,2022-04-04T17:36:04.897,0,84,129.322
2022-04-04T17:36:48.970,2022-04-04T17:38:57.796,0,84,128.826
2022-04-04T17:39:06.524,2022-04-04T17:41:11.747,0,84,125.223
2022-04-04T17:47:43.847,2022-04-04T17:49:54.696,90,20,132.849
2022-04-04T17:49:57.698,2022-04-04T17:52:10.797,90,20,133.099
2022-04-04T18:05:08.501,2022-04-04T18:07:39.650,200,21,151.15
2022-04-04T18:07:40.652,2022-04-04T18:08:40.048,200,21,59.395
2022-04-04T18:28:02.797,2022-04-04T18:29:01.148,220,22,58.35
2022-04-04T18:29:02.149,2022-04-04T18:30:00.401,220,22,58.252
