Small Slew and Settle - LTS-337-015 on Fri Apr  8 03:14:43 2022 
Start_Time[UTC], End_Time[UTC], Start_Azimuth[deg], Start_Elevation[deg], Slew_Time[s], Start_image, End_image
2022-04-08T03:18:02.303,2022-04-08T03:18:15.651,240,70,13.348, [2022040700286], [2022040700287]
2022-04-08T03:18:22.629,2022-04-08T03:18:35.948,240,70,13.319, [2022040700287], [2022040700288]
2022-04-08T03:19:01.801,2022-04-08T03:19:15.149,240,70,13.348, [2022040700289], [2022040700290]
2022-04-08T03:19:22.231,2022-04-08T03:19:35.545,240,70,13.314, [2022040700290], [2022040700291]
2022-04-08T03:21:25.666,2022-04-08T03:21:39.144,170,50,13.478, [2022040700292], [2022040700293]
2022-04-08T03:21:46.030,2022-04-08T03:21:59.446,170,50,13.415, [2022040700293], [2022040700294]
2022-04-08T03:22:24.872,2022-04-08T03:22:38.248,170,50,13.376, [2022040700295], [2022040700296]
2022-04-08T03:22:45.241,2022-04-08T03:22:58.651,170,50,13.409, [2022040700296], [2022040700297]
2022-04-08T03:24:08.780,2022-04-08T03:24:21.896,150,50,13.116, [2022040700298], [2022040700299]
2022-04-08T03:24:28.838,2022-04-08T03:24:41.948,150,50,13.11, [2022040700299], [2022040700300]
2022-04-08T03:25:06.962,2022-04-08T03:25:20.003,150,50,13.041, [2022040700301], [2022040700302]
2022-04-08T03:25:26.973,2022-04-08T03:25:40.048,150,50,13.075, [2022040700302], [2022040700303]
2022-04-08T03:26:57.649,2022-04-08T03:27:11.197,100,40,13.548, [2022040700304], [2022040700305]
2022-04-08T03:27:18.083,2022-04-08T03:27:31.695,100,40,13.612, [2022040700305], [2022040700306]
2022-04-08T03:29:55.852,2022-04-08T03:30:09.945,73,35,14.093, [2022040700307], [2022040700308]
2022-04-08T03:30:16.855,2022-04-08T03:30:30.899,73,35,14.043, [2022040700308], [2022040700309]
